device_id,recorded_at,hv_battery_soc,hv_battery_actual_soc,hv_battery_voltage,hv_battery_amperage,hv_battery_kw,hv_battery_capacity,hv_battery_range,hv_battery_max_range,hv_battery_temperature,lv_battery_level,lv_battery_voltage,motor_voltage,motor_amperage,motor_kw,performance_status,source_system
demo_lightning_showcase,2025-01-01T06:00:00-05:00,72.0,71.85,373.0,-0.08,-0.03,100.87,177.9,249.6,44.0,92.6,12.4,0.0,0.0,0.0,0,sample_generator
demo_lightning_showcase,2025-01-01T08:06:00-05:00,69.2,69.12,369.9,163.1,60.46,100.87,170.2,249.6,46.0,90.0,12.9,324.5,155.9,53.94,0,sample_generator
demo_lightning_showcase,2025-01-01T08:22:00-05:00,69.1,68.32,370.6,0.13,0.05,100.87,180.1,249.6,45.3,90.8,12.5,0.0,0.0,0.0,0,sample_generator
demo_lightning_showcase,2025-01-01T11:07:00-05:00,69.1,68.45,369.8,0.08,0.03,100.87,178.6,249.6,43.7,91.6,12.8,0.0,0.0,0.0,0,sample_generator
demo_lightning_showcase,2025-01-01T13:56:00-05:00,69.1,67.44,370.8,-0.05,-0.02,100.87,173.6,249.6,43.0,91.1,12.8,0.0,0.0,0.0,check_system,sample_generator
demo_lightning_showcase,2025-01-01T16:46:00-05:00,69.1,67.83,370.5,0.0,0.0,100.87,172.6,249.6,41.9,95.9,12.7,0.0,0.0,0.0,0,sample_generator
demo_lightning_showcase,2025-01-01T18:08:00-05:00,69.1,68.17,371.0,0.13,0.05,100.87,180.0,249.6,40.9,94.7,12.9,0.0,0.0,0.0,0,sample_generator
demo_lightning_showcase,2025-01-01T19:39:00-05:00,69.1,68.63,371.2,-0.11,-0.04,100.87,167.8,249.6,38.9,97.3,12.8,0.0,0.0,0.0,0,sample_generator
demo_lightning_showcase,2025-01-01T20:28:00-05:00,69.1,68.45,370.5,0.05,0.02,100.87,176.9,249.6,36.8,93.3,12.8,0.0,0.0,0.0,0,sample_generator
demo_lightning_showcase,2025-01-01T22:29:00-05:00,70.6,69.58,371.4,-19.26,-7.17,100.87,174.8,249.6,37.2,91.5,12.8,0.0,0.0,0.0,0,sample_generator
demo_lightning_showcase,2025-01-01T22:44:00-05:00,72.3,71.18,373.7,-24.76,-9.24,100.87,172.8,249.6,37.8,95.4,12.7,0.0,0.0,0.0,0,sample_generator
demo_lightning_showcase,2025-01-01T22:56:00-05:00,72.3,70.72,373.0,-0.08,-0.03,100.87,181.5,249.6,36.5,90.9,12.6,0.0,0.0,0.0,0,sample_generator
demo_lightning_showcase,2025-01-02T01:49:00-05:00,72.3,72.18,373.6,-0.0,-0.0,100.87,181.0,249.6,34.2,93.5,12.8,0.0,0.0,0.0,0,sample_generator
demo_lightning_showcase,2025-01-02T06:10:00-05:00,72.3,70.98,373.4,0.08,0.03,100.86,173.0,249.6,34.1,93.9,12.8,0.0,0.0,0.0,0,sample_generator
demo_lightning_showcase,2025-01-02T07:05:00-05:00,69.4,67.48,371.1,175.47,64.96,100.86,172.5,249.6,35.7,91.0,12.6,326.9,176.89,59.78,0,sample_generator
demo_lightning_showcase,2025-01-02T07:17:00-05:00,69.4,67.45,371.6,-0.05,-0.02,100.86,169.8,249.6,35.6,93.3,12.6,0.0,0.0,0.0,0,sample_generator
demo_lightning_showcase,2025-01-02T09:22:00-05:00,69.4,69.06,370.7,0.08,0.03,100.86,179.9,249.6,35.7,96.0,12.6,0.0,0.0,0.0,0,sample_generator
demo_lightning_showcase,2025-01-02T10:52:00-05:00,69.4,69.08,370.8,-0.11,-0.04,100.86,173.7,249.6,34.8,95.1,12.5,0.0,0.0,0.0,0,sample_generator
demo_lightning_showcase,2025-01-02T12:17:00-05:00,69.4,67.53,370.8,-0.0,-0.0,100.86,170.7,249.6,34.9,93.4,12.5,0.0,0.0,0.0,0,sample_generator
demo_lightning_showcase,2025-01-02T12:50:00-05:00,69.3,68.5,371.1,-0.0,-0.0,100.86,167.8,249.6,35.1,95.3,12.7,0.0,0.0,0.0,0,sample_generator
demo_lightning_showcase,2025-01-02T13:48:00-05:00,69.2,67.9,370.0,-0.03,-0.01,100.86,169.3,249.6,35.2,92.1,12.5,0.0,0.0,0.0,0,sample_generator
demo_lightning_showcase,2025-01-02T14:58:00-05:00,69.2,68.51,370.8,0.05,0.02,100.86,169.9,249.6,33.9,93.3,12.9,0.0,0.0,0.0,0,sample_generator
demo_lightning_showcase,2025-01-02T17:45:00-05:00,66.2,64.74,368.0,60.03,22.12,100.86,167.7,249.6,34.6,92.2,12.6,350.6,57.24,20.81,0,sample_generator
demo_lightning_showcase,2025-01-02T18:03:00-05:00,66.2,66.03,367.4,0.05,0.02,100.86,164.5,249.6,33.6,98.3,12.9,0.0,0.0,0.0,0,sample_generator
demo_lightning_showcase,2025-01-02T20:57:00-05:00,66.2,65.65,368.8,0.0,0.0,100.86,161.1,249.6,32.0,90.8,12.7,0.0,0.0,0.0,0,sample_generator
demo_lightning_showcase,2025-01-02T23:25:00-05:00,67.9,66.21,369.3,-22.64,-8.35,100.86,164.1,249.6,32.6,92.2,12.9,0.0,0.0,0.0,0,sample_generator
demo_lightning_showcase,2025-01-02T23:43:00-05:00,67.9,67.28,369.6,-0.08,-0.03,100.86,173.1,249.6,30.9,93.4,12.7,0.0,0.0,0.0,0,sample_generator
demo_lightning_showcase,2025-01-03T00:38:00-05:00,67.9,66.59,369.8,0.0,0.0,100.86,172.5,249.6,29.0,92.9,12.7,0.0,0.0,0.0,0,sample_generator
demo_lightning_showcase,2025-01-03T03:40:00-05:00,67.9,67.6,369.5,0.11,0.04,100.86,163.7,249.6,27.9,94.3,12.5,0.0,0.0,0.0,0,sample_generator
demo_lightning_showcase,2025-01-03T05:50:00-05:00,67.9,66.54,369.2,-0.11,-0.04,100.86,166.5,249.6,27.9,95.8,12.6,0.0,0.0,0.0,0,sample_generator
demo_lightning_showcase,2025-01-03T10:02:00-05:00,67.7,66.04,369.1,0.0,0.0,100.85,170.3,249.6,28.3,95.0,12.5,0.0,0.0,0.0,0,sample_generator
demo_lightning_showcase,2025-01-03T11:29:00-05:00,68.9,68.32,370.0,-15.45,-5.71,100.85,179.6,249.6,28.9,94.7,13.0,0.0,0.0,0.0,0,sample_generator
demo_lightning_showcase,2025-01-03T11:47:00-05:00,68.9,68.0,370.9,-0.14,-0.05,100.85,176.2,249.6,29.2,92.6,12.7,0.0,0.0,0.0,0,sample_generator
demo_lightning_showcase,2025-01-03T13:15:00-05:00,68.9,68.56,370.3,-0.13,-0.05,100.85,167.7,249.6,29.8,92.1,12.6,0.0,0.0,0.0,0,sample_generator
demo_lightning_showcase,2025-01-03T15:30:00-05:00,68.9,67.94,370.2,0.14,0.05,100.85,179.2,249.6,30.2,99.1,12.8,0.0,0.0,0.0,0,sample_generator
demo_lightning_showcase,2025-01-03T17:37:00-05:00,65.1,64.59,366.6,146.0,53.61,100.85,154.9,249.6,31.4,93.9,12.7,331.4,135.39,47.87,0,sample_generator
demo_lightning_showcase,2025-01-03T17:50:00-05:00,62.3,61.73,364.6,78.07,28.48,100.85,153.6,249.6,32.8,90.8,12.7,324.5,76.75,25.05,0,sample_generator
demo_lightning_showcase,2025-01-03T18:07:00-05:00,60.0,58.64,362.5,121.84,44.29,100.85,154.5,249.6,34.6,91.9,12.5,341.2,112.95,39.82,0,sample_generator
demo_lightning_showcase,2025-01-03T18:16:00-05:00,58.0,57.24,361.1,172.57,62.16,100.85,139.1,249.6,35.3,94.8,12.5,345.7,157.2,58.53,0,sample_generator
demo_lightning_showcase,2025-01-03T18:26:00-05:00,55.2,53.96,357.7,167.83,60.1,100.85,135.5,249.6,35.8,90.5,12.9,320.1,162.77,55.3,0,sample_generator
demo_lightning_showcase,2025-01-03T18:39:00-05:00,53.0,52.3,356.6,64.48,23.0,100.85,135.0,249.6,36.7,93.5,12.6,342.8,62.75,21.11,0,sample_generator
demo_lightning_showcase,2025-01-03T18:52:00-05:00,49.7,49.95,353.8,108.42,38.37,100.85,121.6,249.6,38.0,94.7,12.8,334.9,106.33,34.98,0,sample_generator
demo_lightning_showcase,2025-01-03T19:10:00-05:00,49.7,49.2,353.4,0.14,0.05,100.85,128.5,249.6,37.2,94.0,12.8,0.0,0.0,0.0,0,sample_generator
demo_lightning_showcase,2025-01-03T19:59:00-05:00,49.7,50.38,353.1,-0.11,-0.04,100.85,126.7,249.6,35.5,94.9,12.8,0.0,0.0,0.0,check_system,sample_generator
